field1,id,symbol,name,price,market_cap,total_volume,rank,image
52,terrausd,ust,TerraUSD,74.78,142572549652,5986581946,53,https://assets.coingecko.com/coins/images/12681/large/UST.png?1601612407
53,bittorrent-2,btt,BitTorrent,0.20741,136001431711,30115153602,54,https://assets.coingecko.com/coins/images/7595/large/BTT_Token_Graphic.png?1555066995
54,huobi-token,ht,Huobi Token,786.92,134017484015,11858155897,55,https://assets.coingecko.com/coins/images/2822/large/huobi-token-logo.png?1547036992
55,thorchain,rune,THORChain,492.35,133015320374,9421134338,56,https://assets.coingecko.com/coins/images/6595/large/RUNE.png?1614160507
56,decred,dcr,Decred,10008.87,130236079989,2592916300,57,https://assets.coingecko.com/coins/images/329/large/decred.png?1547034093
57,the-graph,grt,The Graph,43.58,126221558858,7230468107,58,https://assets.coingecko.com/coins/images/13397/large/Graph_Token.png?1608145566
58,compound-governance-token,comp,Compound,23718.0,126168334415,26190732897,59,https://assets.coingecko.com/coins/images/10775/large/COMP.png?1592625425
59,hedera-hashgraph,hbar,Hedera Hashgraph,14.04,123355636279,4440069640,60,https://assets.coingecko.com/coins/images/3688/large/mqTDGK7Q.png?1566256777
60,sushi,sushi,Sushi,587.0,111329579988,16764182440,61,https://assets.coingecko.com/coins/images/12271/large/512x512_Logo_no_chop.png?1606986688
61,waves,waves,Waves,1086.33,108683435018,9910771010,62,https://assets.coingecko.com/coins/images/425/large/waves.png?1548386117
62,elrond-erd-2,egld,Elrond,6036.55,107256320781,4402482800,63,https://assets.coingecko.com/coins/images/12335/large/Elrond.png?1599132180
63,true-usd,tusd,TrueUSD,74.7,105110107901,4466963772,65,https://assets.coingecko.com/coins/images/3449/large/tusd.png?1618395665
64,dash,dash,Dash,10287.85,105012414934,43124217475,64,https://assets.coingecko.com/coins/images/19/large/dash-logo.png?1548385930
65,huobi-btc,hbtc,Huobi BTC,2604264.0,103894842524,853081629,66,https://assets.coingecko.com/coins/images/12407/large/Unknown-5.png?1599624896
66,zcash,zec,Zcash,8944.35,100492271864,71381946091,67,https://assets.coingecko.com/coins/images/486/large/circle-zcash-color.png?1547034197
67,chiliz,chz,Chiliz,18.68,99451621220,15174762266,68,https://assets.coingecko.com/coins/images/8834/large/Chiliz.png?1561970540
68,telcoin,tel,Telcoin,1.78,97642449142,1093213654,69,https://assets.coingecko.com/coins/images/1899/large/tel.png?1547036203
69,staked-ether,steth,Lido Staked Ether,159685.0,85754486432,469329706,70,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1608607546
70,yearn-finance,yfi,yearn.finance,2410491.0,85689250404,14971877979,71,https://assets.coingecko.com/coins/images/11849/large/yfi-192x192.png?1598325330
71,havven,snx,Synthetix Network Token,540.31,85612886074,5050215254,72,https://assets.coingecko.com/coins/images/3406/large/SNX.png?1598631139
72,nem,xem,NEM,9.53,85574631254,7179168465,73,https://assets.coingecko.com/coins/images/242/large/NEM_Logo_256x256.png?1598687029
73,holotoken,hot,Holo,0.461246,81763492728,5741525073,74,https://assets.coingecko.com/coins/images/3348/large/Holologo_Profile.png?1547037966
74,helium,hnt,Helium,924.71,81312339921,931312883,75,https://assets.coingecko.com/coins/images/4284/large/Helium_HNT.png?1612620071
75,zilliqa,zil,Zilliqa,6.31,76798340974,17434838763,76,https://assets.coingecko.com/coins/images/2687/large/Zilliqa-logo.png?1547036894
76,enjincoin,enj,Enjin Coin,79.37,73938456135,6836747410,77,https://assets.coingecko.com/coins/images/1102/large/enjin-coin-logo.png?1547035078
77,quant-network,qnt,Quant,5716.5,73595897984,1906020253,78,https://assets.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1612437252
78,xdce-crowd-sale,xdc,XDC Network,5.6,68483527875,775703033,79,https://assets.coingecko.com/coins/images/2912/large/xdc-logo.png?1589242157
79,basic-attention-token,bat,Basic Attention Token,43.41,65023508610,6659908123,80,https://assets.coingecko.com/coins/images/677/large/basic-attention-token.png?1547034427
80,near,near,Near,151.94,62281010041,3133438579,81,https://assets.coingecko.com/coins/images/10365/large/near_icon.png?1601359077
81,paxos-standard,pax,Paxos Standard,74.57,61054728410,3024325061,82,https://assets.coingecko.com/coins/images/6013/large/paxos_standard.png?1548386291
82,mdex,mdx,Mdex,120.26,60617150409,2773831940,83,https://assets.coingecko.com/coins/images/13775/large/mdex.png?1611739676
83,blockstack,stx,Stacks,55.81,58003096462,1623309517,84,https://assets.coingecko.com/coins/images/2069/large/Stacks_logo_full.png?1604112510
84,bitcoin-gold,btg,Bitcoin Gold,3316.17,57789888322,3659452016,85,https://assets.coingecko.com/coins/images/1043/large/bitcoin-gold-logo.png?1547034978
85,nexo,nexo,NEXO,102.74,56503641152,504249416,86,https://assets.coingecko.com/coins/images/3695/large/nexo.png?1548086057
86,liquity-usd,lusd,Liquity USD,76.06,55833593246,620894520,87,https://assets.coingecko.com/coins/images/14666/large/Group_3.png?1617631327
87,bancor,bnt,Bancor Network Token,242.85,53907950380,7964716347,88,https://assets.coingecko.com/coins/images/736/large/bancor.png?1547034477
88,decentraland,mana,Decentraland,39.91,53276002351,2674564404,89,https://assets.coingecko.com/coins/images/878/large/decentraland-mana.png?1550108745
89,zencash,zen,Horizen,4734.97,53095971540,3358016204,90,https://assets.coingecko.com/coins/images/691/large/horizen.png?1555052241
90,qtum,qtum,Qtum,504.67,52219627208,15982695464,91,https://assets.coingecko.com/coins/images/684/large/qtum.png?1547034438
91,harmony,one,Harmony,5.03,51158711282,1730504286,92,https://assets.coingecko.com/coins/images/4344/large/Y88JAze.png?1565065793
92,nano,nano,Nano,368.78,49107324564,2528921596,93,https://assets.coingecko.com/coins/images/756/large/nano-coin-logo.png?1547034501
93,digibyte,dgb,DigiByte,3.36,48488074740,1532682042,94,https://assets.coingecko.com/coins/images/63/large/digibyte.png?1547033717
94,siacoin,sc,Siacoin,0.968942,46634128449,6191425736,95,https://assets.coingecko.com/coins/images/289/large/siacoin.png?1548386465
95,0x,zrx,0x,53.7,45458502901,7115982245,96,https://assets.coingecko.com/coins/images/863/large/0x.png?1547034672
96,compound-usdt,cusdt,cUSDT,1.59,45138276487,357068,97,https://assets.coingecko.com/coins/images/11621/large/cUSDT.png?1592113270
97,ontology,ont,Ontology,51.35,44372961505,12684472097,98,https://assets.coingecko.com/coins/images/3447/large/ONT.png?1583481820
98,curve-dao-token,crv,Curve DAO Token,127.2,44092164557,9208808730,99,https://assets.coingecko.com/coins/images/12124/large/Curve.png?1597369484
99,fantom,ftm,Fantom,17.32,43820773731,4095955722,100,https://assets.coingecko.com/coins/images/4001/large/Fantom.png?1558015016
