,id,symbol,name,price,market_cap,total_volume,rank,image
45,iota,miota,IOTA,62.1,172510146567,2697239113,46,https://assets.coingecko.com/coins/images/692/large/IOTA_Swirl.png?1604238557
46,ftx-token,ftt,FTX Token,1957.82,170352810040,2330661167,47,https://assets.coingecko.com/coins/images/9026/large/F.png?1609051564
47,theta-fuel,tfuel,Theta Fuel,32.08,170163912527,5074607817,48,https://assets.coingecko.com/coins/images/8029/large/1_0YusgngOrriVg4ZYx4wOFQ.png?1553483622
48,maker,mkr,Maker,173965.0,156609697704,8491839813,49,https://assets.coingecko.com/coins/images/1364/large/Mark_Maker.png?1585191826
49,kusama,ksm,Kusama,16770.25,150421425230,37297573226,50,https://assets.coingecko.com/coins/images/9568/large/m4zRhP5e_400x400.jpg?1576190080
50,safemoon,safemoon,SafeMoon,0.00025726,149072180332,1291341908,51,https://assets.coingecko.com/coins/images/14362/large/174x174-white.png?1617174846
51,avalanche-2,AVAX,Avalanche,857.12,147465287509,4050203533,52,https://assets.coingecko.com/coins/images/12559/large/coin-round-red.png?1604021818
52,terrausd,ust,TerraUSD,74.69,142755103205,5985490264,53,https://assets.coingecko.com/coins/images/12681/large/UST.png?1601612407
53,bittorrent-2,btt,BitTorrent,0.207078,136323547783,30097661648,54,https://assets.coingecko.com/coins/images/7595/large/BTT_Token_Graphic.png?1555066995
54,huobi-token,ht,Huobi Token,790.32,134778239099,11928325792,55,https://assets.coingecko.com/coins/images/2822/large/huobi-token-logo.png?1547036992
55,thorchain,rune,THORChain,491.02,133917921219,9533723245,56,https://assets.coingecko.com/coins/images/6595/large/RUNE.png?1614160507
56,decred,dcr,Decred,9998.69,130297305287,2356604828,57,https://assets.coingecko.com/coins/images/329/large/decred.png?1547034093
57,compound-governance-token,comp,Compound,23819.0,127075917587,26228301734,58,https://assets.coingecko.com/coins/images/10775/large/COMP.png?1592625425
58,the-graph,grt,The Graph,43.52,125930267529,7235671853,59,https://assets.coingecko.com/coins/images/13397/large/Graph_Token.png?1608145566
59,hedera-hashgraph,hbar,Hedera Hashgraph,14.05,123443253040,4491826454,60,https://assets.coingecko.com/coins/images/3688/large/mqTDGK7Q.png?1566256777
60,sushi,sushi,Sushi,587.13,111574600203,16747606431,61,https://assets.coingecko.com/coins/images/12271/large/512x512_Logo_no_chop.png?1606986688
61,waves,waves,Waves,1087.48,108805249311,9921855084,62,https://assets.coingecko.com/coins/images/425/large/waves.png?1548386117
62,elrond-erd-2,egld,Elrond,6032.46,108268528583,4456165470,63,https://assets.coingecko.com/coins/images/12335/large/Elrond.png?1599132180
63,dash,dash,Dash,10362.96,104898679905,43579554778,64,https://assets.coingecko.com/coins/images/19/large/dash-logo.png?1548385930
64,true-usd,tusd,TrueUSD,74.49,104745178227,4478768654,65,https://assets.coingecko.com/coins/images/3449/large/tusd.png?1618395665
65,huobi-btc,hbtc,Huobi BTC,2623673.0,104231691612,864866767,66,https://assets.coingecko.com/coins/images/12407/large/Unknown-5.png?1599624896
66,zcash,zec,Zcash,8902.56,100103360661,71290138135,67,https://assets.coingecko.com/coins/images/486/large/circle-zcash-color.png?1547034197
67,chiliz,chz,Chiliz,18.68,99959881776,14788585291,68,https://assets.coingecko.com/coins/images/8834/large/Chiliz.png?1561970540
68,telcoin,tel,Telcoin,1.79,97952416708,1106788477,69,https://assets.coingecko.com/coins/images/1899/large/tel.png?1547036203
69,staked-ether,steth,Lido Staked Ether,160188.0,86654667357,471394341,70,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1608607546
70,yearn-finance,yfi,yearn.finance,2428076.0,86465117784,15215054724,71,https://assets.coingecko.com/coins/images/11849/large/yfi-192x192.png?1598325330
71,havven,snx,Synthetix Network Token,541.8,85785219964,5105807064,72,https://assets.coingecko.com/coins/images/3406/large/SNX.png?1598631139
72,nem,xem,NEM,9.5,85471150964,7208588809,73,https://assets.coingecko.com/coins/images/242/large/NEM_Logo_256x256.png?1598687029
73,holotoken,hot,Holo,0.460361,81802462662,5763872029,74,https://assets.coingecko.com/coins/images/3348/large/Holologo_Profile.png?1547037966
74,helium,hnt,Helium,921.73,81394640448,951426629,75,https://assets.coingecko.com/coins/images/4284/large/Helium_HNT.png?1612620071
75,zilliqa,zil,Zilliqa,6.33,77167612542,17684081545,76,https://assets.coingecko.com/coins/images/2687/large/Zilliqa-logo.png?1547036894
76,enjincoin,enj,Enjin Coin,79.74,74502093852,7047842828,77,https://assets.coingecko.com/coins/images/1102/large/enjin-coin-logo.png?1547035078
77,quant-network,qnt,Quant,5721.79,73949113133,1910253988,78,https://assets.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1612437252
78,xdce-crowd-sale,xdc,XDC Network,5.65,69216678026,787542638,79,https://assets.coingecko.com/coins/images/2912/large/xdc-logo.png?1589242157
79,basic-attention-token,bat,Basic Attention Token,43.37,64958123070,6335256567,80,https://assets.coingecko.com/coins/images/677/large/basic-attention-token.png?1547034427
80,near,near,Near,152.5,62638419206,3162563136,81,https://assets.coingecko.com/coins/images/10365/large/near_icon.png?1601359077
81,mdex,mdx,Mdex,121.53,61508358390,2821245074,82,https://assets.coingecko.com/coins/images/13775/large/mdex.png?1611739676
82,paxos-standard,pax,Paxos Standard,74.41,61009577547,3103234562,83,https://assets.coingecko.com/coins/images/6013/large/paxos_standard.png?1548386291
83,blockstack,stx,Stacks,55.55,58736763233,1615957926,84,https://assets.coingecko.com/coins/images/2069/large/Stacks_logo_full.png?1604112510
84,bitcoin-gold,btg,Bitcoin Gold,3349.88,58336828617,3757339030,85,https://assets.coingecko.com/coins/images/1043/large/bitcoin-gold-logo.png?1547034978
85,nexo,nexo,NEXO,104.22,58285453216,516398196,86,https://assets.coingecko.com/coins/images/3695/large/nexo.png?1548086057
86,liquity-usd,lusd,Liquity USD,76.61,55892337424,625378175,87,https://assets.coingecko.com/coins/images/14666/large/Group_3.png?1617631327
87,bancor,bnt,Bancor Network Token,243.05,54061187385,8010271096,88,https://assets.coingecko.com/coins/images/736/large/bancor.png?1547034477
88,zencash,zen,Horizen,4767.63,53495537409,3400977494,89,https://assets.coingecko.com/coins/images/691/large/horizen.png?1555052241
89,decentraland,mana,Decentraland,39.94,53036052122,2513984840,90,https://assets.coingecko.com/coins/images/878/large/decentraland-mana.png?1550108745
90,qtum,qtum,Qtum,505.28,52222852535,16124161110,91,https://assets.coingecko.com/coins/images/684/large/qtum.png?1547034438
91,harmony,one,Harmony,5.08,52056969180,1768472676,92,https://assets.coingecko.com/coins/images/4344/large/Y88JAze.png?1565065793
92,nano,nano,Nano,370.51,49361180539,2552259599,93,https://assets.coingecko.com/coins/images/756/large/nano-coin-logo.png?1547034501
93,digibyte,dgb,DigiByte,3.36,48598807682,1560566947,94,https://assets.coingecko.com/coins/images/63/large/digibyte.png?1547033717
94,siacoin,sc,Siacoin,0.966188,46507484867,6184186683,95,https://assets.coingecko.com/coins/images/289/large/siacoin.png?1548386465
95,0x,zrx,0x,53.53,45223747109,6877210091,96,https://assets.coingecko.com/coins/images/863/large/0x.png?1547034672
96,compound-usdt,cusdt,cUSDT,1.58,45087842948,178494807,97,https://assets.coingecko.com/coins/images/11621/large/cUSDT.png?1592113270
97,ontology,ont,Ontology,51.82,44707602465,10732319312,98,https://assets.coingecko.com/coins/images/3447/large/ONT.png?1583481820
98,fantom,ftm,Fantom,17.47,44417769927,4158851677,99,https://assets.coingecko.com/coins/images/4001/large/Fantom.png?1558015016
99,curve-dao-token,crv,Curve DAO Token,128.62,44393896936,9456667236,100,https://assets.coingecko.com/coins/images/12124/large/Curve.png?1597369484
